retries,packet_loss,ack_success,crc_error,label
8,0.0901868964894533,0.7985088307338698,0,SCL
8,0.1973375266123159,0.8194449760118863,0,SCL
4,0.0590583967017925,0.9977466398350447,0,SC
2,0.2930981264982919,0.7089495638951768,1,SCL
2,0.1852211901660811,0.983400407718002,1,SC
3,0.2579822177556005,0.7119379885103247,1,SCL
3,0.0385644351373924,0.9820058815418216,0,SC
4,0.0866557665078803,0.9681396687056868,0,SC
5,0.1281464380921989,0.987644748866528,1,SC
9,0.2002262137355992,0.7464356062419139,1,SCL
14,0.1063320990606264,0.4961971213054916,0,LV
2,0.1470332024895428,0.9698094391977538,1,SC
3,0.1235212934361146,0.9510746381434264,1,SC
0,0.1325806823597083,0.9624971441847656,1,SC
3,0.0945467065395504,0.9829309018333858,0,SC
11,0.4883585503800156,0.3795533578995531,1,LV
4,0.1031649277214891,0.9738563556958342,1,SC
3,0.1281077701561472,0.8864584614643145,0,SCL
0,0.0428654095041094,0.9918026069007332,0,SC
3,0.2666197976082272,0.7933479852591125,1,SCL
2,0.0314373436964187,0.9799440567638026,0,SC
7,0.312074921505475,0.396028844290949,1,LV
5,0.1590273360781286,0.7662051055096362,0,SCL
4,0.1619192035602001,0.955311040037723,1,SC
0,0.2866394389645786,0.8142084517577108,1,SCL
1,0.1278575210508163,0.9888499544152796,1,SC
10,0.2704138343009791,0.702640664596109,1,SCL
9,0.1454245513841384,0.852141238155114,0,SCL
3,0.2890646798452682,0.7878984106251954,1,SCL
13,0.2620089982112683,0.3933928095349399,0,LV
5,0.0981532208738227,0.9623937643798388,0,SC
13,0.223630445955792,0.468132064677818,0,LV
2,0.0977590706318821,0.9823254535490312,0,SC
5,0.1185032056135707,0.999665579928202,1,SC
3,0.0660214348814897,0.9751040357976084,0,SC
0,0.1971592072579875,0.8469024760408581,0,SCL
15,0.2719470625233291,0.328242421355711,0,LV
5,0.3743407847276126,0.3353326648276384,1,LV
2,0.0878233108720568,0.7780204792284977,0,SCL
3,0.1574609580805718,0.9950784042109996,1,SC
8,0.1759908707219621,0.4383758460193802,0,LV
5,0.4747479749752014,0.4459227080668424,1,LV
4,0.0359519420867085,0.996352925459782,0,SC
7,0.1400191031052185,0.8184267370819982,0,SCL
7,0.3982855058905447,0.4383027167168868,1,LV
4,0.1986972447142902,0.9651858559921654,1,SC
1,0.0794799720918444,0.9969608572351236,0,SC
3,0.0533609501184536,0.9833179341847392,0,SC
8,0.1964604523652305,0.4943440432843466,0,LV
2,0.0268389717484255,0.988302916671483,0,SC
1,0.0752573817892508,0.9615227392184548,0,SC
4,0.0267654798394394,0.9862214842693948,0,SC
3,0.1344925897443085,0.9591023382008598,1,SC
14,0.1763939891335774,0.4653743992994149,0,LV
14,0.2649693351851397,0.4646227322378186,0,LV
7,0.2719026909584775,0.4818121379587464,0,LV
2,0.0636398495343667,0.9906600837275252,0,SC
15,0.2145971507777507,0.4099244344364268,0,LV
2,0.0659839875776932,0.8779168868986563,0,SCL
4,0.1320467674885803,0.99423755690448,1,SC
4,0.1164078405660129,0.9735440294472232,1,SC
4,0.2725488883372004,0.7229984031306241,1,SCL
7,0.2895247130800694,0.7652962800487129,1,SCL
8,0.2509256843526372,0.4437598846131059,0,LV
4,0.2040021738842964,0.7686501936619536,1,SCL
12,0.1733161038972789,0.4672433129228701,0,LV
5,0.2396083993656472,0.3749722066262786,0,LV
10,0.182306041874419,0.433426009022097,0,LV
5,0.4946533411424313,0.3267899874959021,1,LV
7,0.1868155964465437,0.3893202187228777,0,LV
14,0.103726679297184,0.3551721144438994,0,LV
9,0.2057914115900646,0.8392230752162574,1,SCL
3,0.0302964825038417,0.969463085446991,0,SC
11,0.3684123093399967,0.3545998811220635,1,LV
14,0.1704090111613217,0.3102489899682642,0,LV
7,0.4970822761121279,0.348546925307968,1,LV
12,0.2526109414429573,0.391099765003624,0,LV
10,0.250418571491602,0.8204872116540365,1,SCL
3,0.1434287307474968,0.9627635436463066,1,SC
9,0.0759606024522713,0.7470917362533732,0,SCL
11,0.362805298534041,0.4199244741918211,1,LV
3,0.0731917365358787,0.8103011565070545,0,SCL
2,0.0525005171548159,0.9769231224602084,0,SC
9,0.4576626860039813,0.4543220199725872,1,LV
9,0.2070527867903863,0.8434527406644009,1,SCL
0,0.0739362976940388,0.8277132212950281,0,SCL
15,0.4514120427169856,0.4917320466434827,1,LV
3,0.1492991633522712,0.9888123018733432,1,SC
14,0.2706695847651978,0.486169537484759,0,LV
10,0.3364915093202346,0.324652315616355,1,LV
2,0.2267545013190652,0.8601550697981826,1,SCL
10,0.3642711005536741,0.3877896227570707,1,LV
2,0.1400353105321268,0.9723820958175522,1,SC
1,0.0181369330206744,0.9644813420180928,0,SC
3,0.1462638616662636,0.7716428295631425,0,SCL
3,0.207468837014731,0.7495813459058596,1,SCL
1,0.1699289130171031,0.9799148545501272,1,SC
13,0.166403967025536,0.4580677814313343,0,LV
13,0.1506873576174573,0.3741220235372265,0,LV
3,0.2803485793285423,0.8034322357774926,1,SCL
10,0.4511137302823502,0.4095855435500112,1,LV
5,0.4114595665153291,0.4413671494193723,1,LV
4,0.1084163580251719,0.9616242244055304,1,SC
0,0.0530353641641481,0.9617282840917044,0,SC
9,0.4809441104492211,0.4521979250765329,1,LV
14,0.4862050609061848,0.4870890920453322,1,LV
8,0.4407825812266546,0.3827211489907202,1,LV
8,0.2134527955090499,0.4049610668749291,0,LV
9,0.2371306436247159,0.8017723240442678,1,SCL
4,0.1650847921396586,0.9973391047745253,1,SC
6,0.313675230470342,0.3170223849180821,1,LV
